label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
Hello,0.0,0.0,0.0,-0.29191040992736816,-0.09611933678388596,-0.14371056854724884,-0.5679424405097961,-0.32212916016578674,-0.25238028168678284,-0.7854961156845093,-0.5069836974143982,-0.34847548604011536,-0.9853807687759399,-0.6409268975257874,-0.45003634691238403,-0.4368581771850586,-0.8817766308784485,-0.22154729068279266,-0.5583653450012207,-1.289365291595459,-0.3441392481327057,-0.6200743317604065,-1.5429396629333496,-0.43290117383003235,-0.6653391122817993,-1.7764580249786377,-0.5009989142417908,-0.24967984855175018,-0.9378529787063599,-0.2410222440958023,-0.33247748017311096,-1.4001760482788086,-0.3553955852985382,-0.373884916305542,-1.6950987577438354,-0.4431067705154419,-0.4074043333530426,-1.9666178226470947,-0.509518563747406,-0.05486401170492172,-0.8704010248184204,-0.2734839618206024,-0.08114559203386307,-1.310373067855835,-0.3963511288166046,-0.10585000365972519,-1.583191156387329,-0.4844900369644165,-0.13680009543895721,-1.8323684930801392,-0.5457273721694946,0.14056843519210815,-0.7289549112319946,-0.31426095962524414,0.20620115101337433,-1.0491734743118286,-0.42953622341156006,0.24203811585903168,-1.267891526222229,-0.49241936206817627,0.2614108920097351,-1.4851733446121216,-0.5356234312057495
Hello,0.0,0.0,0.0,-0.28983670473098755,-0.09460502117872238,-0.149891659617424,-0.5647277235984802,-0.31729328632354736,-0.2623904347419739,-0.7811028361320496,-0.5041199326515198,-0.36155301332473755,-0.977526068687439,-0.6421175599098206,-0.4653867185115814,-0.43245357275009155,-0.881070613861084,-0.22663520276546478,-0.5586138367652893,-1.288199782371521,-0.3527849018573761,-0.6212725639343262,-1.5422422885894775,-0.4438398778438568,-0.6663922667503357,-1.7762770652770996,-0.5133195519447327,-0.24453666806221008,-0.9384900331497192,-0.2437993437051773,-0.3287590742111206,-1.3971245288848877,-0.3614383637905121,-0.3695065379142761,-1.6905146837234497,-0.45003679394721985,-0.401979923248291,-1.9618910551071167,-0.5169091820716858,-0.050327129662036896,-0.8726385831832886,-0.2749309837818146,-0.07761707901954651,-1.3111531734466553,-0.40090280771255493,-0.10432514548301697,-1.5825690031051636,-0.48968780040740967,-0.1370183676481247,-1.8325221538543701,-0.550889253616333,0.14437846839427948,-0.7324526309967041,-0.3150624930858612,0.20994161069393158,-1.0499053001403809,-0.4330238699913025,0.24460658431053162,-1.2696778774261475,-0.4981576204299927,0.26258423924446106,-1.4899712800979614,-0.5428469181060791
Hello,0.0,0.0,0.0,-0.28793683648109436,-0.09750492870807648,-0.1505437195301056,-0.5623795390129089,-0.3217567801475525,-0.261112779378891,-0.7780538201332092,-0.5087284445762634,-0.35786816477775574,-0.9713733792304993,-0.6386760473251343,-0.45796629786491394,-0.42650413513183594,-0.8853940963745117,-0.21542562544345856,-0.550123929977417,-1.2828562259674072,-0.33521226048469543,-0.6130855083465576,-1.5313810110092163,-0.42422887682914734,-0.6593375205993652,-1.7605050802230835,-0.493339478969574,-0.24173885583877563,-0.942927360534668,-0.22902046144008636,-0.3282686471939087,-1.3840091228485107,-0.34074288606643677,-0.3742571473121643,-1.6685024499893188,-0.4277237057685852,-0.41110965609550476,-1.9338222742080688,-0.49402397871017456,-0.05040169507265091,-0.8773493766784668,-0.2569270730018616,-0.07804742455482483,-1.3033723831176758,-0.3758651316165924,-0.10464043915271759,-1.570523977279663,-0.4630177319049835,-0.137233167886734,-1.821229100227356,-0.5237290859222412,0.14186596870422363,-0.7348710894584656,-0.29446831345558167,0.20475956797599792,-1.0451185703277588,-0.4063960909843445,0.23373326659202576,-1.263144850730896,-0.47005605697631836,0.24573549628257751,-1.4841443300247192,-0.5141534209251404
Hello,0.0,0.0,0.0,-0.2878136932849884,-0.10017186403274536,-0.14832963049411774,-0.558723509311676,-0.32290953397750854,-0.25904378294944763,-0.7735272645950317,-0.5080572962760925,-0.3565163314342499,-0.965291440486908,-0.6355725526809692,-0.45729950070381165,-0.4293113350868225,-0.8880388736724854,-0.2128806710243225,-0.548884391784668,-1.2817203998565674,-0.33265388011932373,-0.6116560697555542,-1.526001214981079,-0.42221468687057495,-0.6598202586174011,-1.7532169818878174,-0.49164485931396484,-0.2463066726922989,-0.9420320987701416,-0.2278345227241516,-0.3297107517719269,-1.3801630735397339,-0.34034091234207153,-0.3763449192047119,-1.6638277769088745,-0.42804256081581116,-0.41616126894950867,-1.9299626350402832,-0.4944402873516083,-0.05550543591380119,-0.8744768500328064,-0.25698167085647583,-0.08127567172050476,-1.3011360168457031,-0.3768966495990753,-0.10664024204015732,-1.5659480094909668,-0.46430739760398865,-0.13942264020442963,-1.815092921257019,-0.5245455503463745,0.13609683513641357,-0.730348527431488,-0.29548946022987366,0.20265795290470123,-1.0406677722930908,-0.40754058957099915,0.23305903375148773,-1.2589812278747559,-0.4710918962955475,0.24583788216114044,-1.4809889793395996,-0.5147755146026611
Hello,0.0,0.0,0.0,-0.2892404794692993,-0.1043163612484932,-0.1483631432056427,-0.5581440925598145,-0.32451653480529785,-0.26030415296554565,-0.7716939449310303,-0.5044674277305603,-0.359676718711853,-0.9617002606391907,-0.638298749923706,-0.4624066948890686,-0.42907315492630005,-0.8881418108940125,-0.21518069505691528,-0.5471250414848328,-1.2797186374664307,-0.33778631687164307,-0.6093859076499939,-1.522462248802185,-0.4287717938423157,-0.6594436168670654,-1.7497845888137817,-0.4990999698638916,-0.245452418923378,-0.9413983225822449,-0.23134885728359222,-0.3237537145614624,-1.3778109550476074,-0.3469346761703491,-0.36971575021743774,-1.6588108539581299,-0.4364495873451233,-0.4116152822971344,-1.9238718748092651,-0.5045315623283386,-0.05603581294417381,-0.873524010181427,-0.2621162533760071,-0.08104562759399414,-1.2982075214385986,-0.3848314583301544,-0.10463519394397736,-1.5595991611480713,-0.47521084547042847,-0.13859012722969055,-1.808429479598999,-0.5377914309501648,0.13340803980827332,-0.7286229133605957,-0.30223220586776733,0.20413587987422943,-1.0397285223007202,-0.4168841242790222,0.23405218124389648,-1.2550750970840454,-0.4838152825832367,0.2418874055147171,-1.4758031368255615,-0.5304704904556274
Hello,0.0,0.0,0.0,-0.2893289029598236,-0.10338516533374786,-0.1472114622592926,-0.5587398409843445,-0.32609111070632935,-0.25688979029655457,-0.7727265954017639,-0.5077923536300659,-0.35387352108955383,-0.9632668495178223,-0.6386021971702576,-0.45410749316215515,-0.4309971332550049,-0.8875013589859009,-0.2115345448255539,-0.5487788915634155,-1.2770556211471558,-0.33142679929733276,-0.6097175478935242,-1.517879843711853,-0.4209701120853424,-0.6582053899765015,-1.7443432807922363,-0.49055853486061096,-0.24816195666790009,-0.9417397379875183,-0.22702820599079132,-0.3264515995979309,-1.3776987791061401,-0.3397580087184906,-0.3720662295818329,-1.657942295074463,-0.42754626274108887,-0.4137484133243561,-1.922001838684082,-0.494668573141098,-0.05909252539277077,-0.8748483657836914,-0.2570568919181824,-0.08352931588888168,-1.298208475112915,-0.37766027450561523,-0.10731269419193268,-1.5599470138549805,-0.467162162065506,-0.1415742188692093,-1.8081876039505005,-0.5292986035346985,0.1298515498638153,-0.7306817770004272,-0.29642951488494873,0.20192842185497284,-1.0405582189559937,-0.40938395261764526,0.2323286533355713,-1.256307601928711,-0.475749671459198,0.24045827984809875,-1.4771547317504883,-0.5222720503807068
Hello,0.0,0.0,0.0,-0.29502072930336,-0.093747578561306,-0.1507626622915268,-0.5718645453453064,-0.31402575969696045,-0.2644026577472687,-0.7896621227264404,-0.5018091201782227,-0.3640667498111725,-0.9850735664367676,-0.6348977088928223,-0.4674501419067383,-0.4342847466468811,-0.880885660648346,-0.22201254963874817,-0.5590035319328308,-1.2808420658111572,-0.34353315830230713,-0.6248720288276672,-1.5305932760238647,-0.43288126587867737,-0.6743384599685669,-1.762218952178955,-0.5022706985473633,-0.24726222455501556,-0.939613401889801,-0.23661798238754272,-0.3354877233505249,-1.3859575986862183,-0.3514880836009979,-0.3818099796772003,-1.6743297576904297,-0.44025886058807373,-0.4202161729335785,-1.9437607526779175,-0.5073933005332947,-0.05391661077737808,-0.8741996884346008,-0.26485347747802734,-0.08383279293775558,-1.3070555925369263,-0.38746148347854614,-0.11053307354450226,-1.5764641761779785,-0.4762248396873474,-0.1444147229194641,-1.8273112773895264,-0.537541925907135,0.13982166349887848,-0.7336334586143494,-0.30210235714912415,0.20616301894187927,-1.0464768409729004,-0.4170379042625427,0.23843923211097717,-1.2664097547531128,-0.48188841342926025,0.2521492838859558,-1.4881465435028076,-0.5262374877929688
Hello,0.0,0.0,0.0,-0.2965710759162903,-0.09436424821615219,-0.15056699514389038,-0.5710894465446472,-0.3169172406196594,-0.2638566493988037,-0.7887462973594666,-0.5055404901504517,-0.3633408546447754,-0.9860421419143677,-0.6380447149276733,-0.4668208658695221,-0.4341717064380646,-0.8808635473251343,-0.2220621258020401,-0.5591310858726501,-1.2795977592468262,-0.3435971736907959,-0.6240094304084778,-1.5304874181747437,-0.4332508444786072,-0.6728455424308777,-1.7627286911010742,-0.5029882788658142,-0.2472144365310669,-0.9394655823707581,-0.23725412786006927,-0.33684203028678894,-1.38361394405365,-0.35304906964302063,-0.3832378387451172,-1.6735557317733765,-0.4433984160423279,-0.4218713045120239,-1.9464315176010132,-0.5117136836051941,-0.054096728563308716,-0.8752670288085938,-0.26598691940307617,-0.08416727185249329,-1.3049561977386475,-0.38962727785110474,-0.11144449561834335,-1.5756192207336426,-0.4800984263420105,-0.14659273624420166,-1.8275926113128662,-0.5425170660018921,0.13881893455982208,-0.7364356517791748,-0.3036419749259949,0.204892098903656,-1.0500147342681885,-0.41910672187805176,0.23687466979026794,-1.270477294921875,-0.48471322655677795,0.24996738135814667,-1.4911478757858276,-0.529800534248352
Hello,0.0,0.0,0.0,-0.29917749762535095,-0.09571968019008636,-0.15316003561019897,-0.5724253058433533,-0.31644967198371887,-0.2689436376094818,-0.7893924117088318,-0.5052486658096313,-0.3705584704875946,-0.9857882857322693,-0.6384826302528381,-0.4764295518398285,-0.43550753593444824,-0.8793523907661438,-0.2272675335407257,-0.5610718727111816,-1.277449369430542,-0.3505925238132477,-0.6265429258346558,-1.5275871753692627,-0.4414866268634796,-0.6759060025215149,-1.7598018646240234,-0.5120755434036255,-0.2476188838481903,-0.9381859302520752,-0.24185113608837128,-0.33787888288497925,-1.379220962524414,-0.3600137233734131,-0.38495543599128723,-1.6677409410476685,-0.4522501230239868,-0.423759788274765,-1.9395945072174072,-0.5220031142234802,-0.054914943873882294,-0.8749681711196899,-0.2699525058269501,-0.08731162548065186,-1.3017032146453857,-0.3950503468513489,-0.11564885824918747,-1.57178795337677,-0.4872131943702698,-0.15096403658390045,-1.8222548961639404,-0.5508612394332886,0.13681136071681976,-0.7381189465522766,-0.3070977032184601,0.2005048543214798,-1.052131175994873,-0.423533171415329,0.23190085589885712,-1.273757815361023,-0.4905758202075958,0.24570046365261078,-1.4942398071289062,-0.5367933511734009
Hello,0.0,0.0,0.0,-0.2933422029018402,-0.09380289167165756,-0.15033400058746338,-0.5698273777961731,-0.31576257944107056,-0.2635009288787842,-0.7883643507957458,-0.5019512176513672,-0.3633121848106384,-0.9846507906913757,-0.6355656981468201,-0.46746960282325745,-0.43585556745529175,-0.8799992799758911,-0.22339268028736115,-0.5622610449790955,-1.28148353099823,-0.3484112024307251,-0.6276331543922424,-1.5343207120895386,-0.4401153028011322,-0.676332950592041,-1.7675095796585083,-0.510681688785553,-0.24860231578350067,-0.9384051561355591,-0.23998485505580902,-0.3374353051185608,-1.388109564781189,-0.3575383424758911,-0.383937805891037,-1.679879069328308,-0.4485073685646057,-0.4221290946006775,-1.9530553817749023,-0.5171273350715637,-0.05530974268913269,-0.8739826679229736,-0.2703431248664856,-0.08538534492254257,-1.3071287870407104,-0.3951346278190613,-0.1128988265991211,-1.5789625644683838,-0.4848671853542328,-0.14773288369178772,-1.8321552276611328,-0.5468577742576599,0.1382971704006195,-0.7338075041770935,-0.30977559089660645,0.20196858048439026,-1.0476406812667847,-0.4260082542896271,0.2333994060754776,-1.267524242401123,-0.4905472993850708,0.2469588816165924,-1.4882092475891113,-0.5348387360572815
